system,condition,verdict,occurrences,first_location,scope_judgement
Cardiovascular,Pre-Excitation Syndromes,ABSENT,0,weak-signal:Excitation=6,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Stent fracture,ABSENT,0,weak-signal:fracture=300,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Sudden Cardiac Death,IN A TAUGHT SECTION,9,01_Cardiovascular.md#0.17 Short QT Syndrome,covered - named inside a teaching entry
Cardiovascular,Myocardial Infarction (MI),IN A TAUGHT SECTION,3,01_Cardiovascular.md#0.1 Acute Coronary Syndrome (ACS),covered - named inside a teaching entry
Cardiovascular,Pulmonary Regurgitation,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Restrictive Cardiomyopathy,OWNS ENTRY,6,01_Cardiovascular.md#0.41 Restrictive Cardiomyopathy,covered - owns an entry
Cardiovascular,Carotid stenosis,IN A TAUGHT SECTION,2,04_Neurology.md#Transient Ischaemic Attack (TIA),covered - named inside a teaching entry
Cardiovascular,Cystic medial necrosis,ABSENT,0,weak-signal:necrosis=51,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Left Bundle Branch Block,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Penetrating Aortic Ulcer,ABSENT,0,weak-signal:Penetrating=4,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Papillary Fibroelastoma,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Splenic artery aneurysm,ABSENT,0,weak-signal:aneurysm=54,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Thoracic Aortic Aneurysm (TAA),ABSENT,0,weak-signal:Thoracic=25,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Mycotic aneurysm,IN A TAUGHT SECTION,1,01_Cardiovascular.md#0.30 Infective Endocarditis,covered - named inside a teaching entry
Cardiovascular,Pericarditis,OWNS ENTRY,25,01_Cardiovascular.md#0.31 Pericarditis,covered - owns an entry
Cardiovascular,Subclavian Steal Syndrome,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Tricuspid Stenosis,ABSENT,0,weak-signal:Tricuspid=12,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Cardiac Arrest,IN A TAUGHT SECTION,16,01_Cardiovascular.md#0.16 Long QT Syndrome,covered - named inside a teaching entry
Cardiovascular,Arterial insufficiency,IN A TAUGHT SECTION,5,06_Metabolic_Medicine_and_Endocrinology.md#Diabetic Foot,covered - named inside a teaching entry
Cardiovascular,Buerger's disease (Thromboangiitis Obliterans),ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Cardiogenic Shock,OWNS ENTRY,6,01_Cardiovascular.md#0.20.1 Cardiogenic shock,covered - owns an entry
Cardiovascular,Leriche Syndrome,OWNS ENTRY,0,01_Cardiovascular.md#0.35.3 Leriche Syndrome,covered - owns an entry
Cardiovascular,Sinus Bradycardia,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Acute Aortoiliac Occlusion,ABSENT,0,weak-signal:Aortoiliac=2,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Acute Coronary Syndromes,OWNS ENTRY,4,01_Cardiovascular.md#0.1 Acute Coronary Syndrome (ACS),covered - owns an entry
Cardiovascular,Acute Decompensated Heart Failure,ABSENT,0,weak-signal:Decompensated=14,COVERED-SYNONYM: acute heart failure content
Cardiovascular,Acute limb ischemia (ALI),IN A TAUGHT SECTION,5,01_Cardiovascular.md#0.35.1 Peripheral Arterial Disease (PAD),covered - named inside a teaching entry
Cardiovascular,Aortic Regurgitation,IN A TAUGHT SECTION,12,01_Cardiovascular.md#0.35.5 Aortic Dissection,covered - named inside a teaching entry
Cardiovascular,Arrhythmias,IN A TAUGHT SECTION,69,01_Cardiovascular.md#0.1 Acute Coronary Syndrome (ACS),covered - named inside a teaching entry
Cardiovascular,Arterial Disease,OWNS ENTRY,17,01_Cardiovascular.md#0.35.1 Peripheral Arterial Disease (PAD),covered - owns an entry
Cardiovascular,Arterial thrombosis,IN A TAUGHT SECTION,3,06_Metabolic_Medicine_and_Endocrinology.md#Hyperosmolar Hyperglycaemic State (HHS),covered - named inside a teaching entry
Cardiovascular,Arterial ulcer,IN A TAUGHT SECTION,1,Examination.md#Leg and Skin Ulcers — Differential and Approach,covered - named inside a teaching entry
Cardiovascular,Arteriovenous fistulae,ABSENT,0,weak-signal:Arteriovenous=4,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Arteriovenous Malformations,IN A TAUGHT SECTION,1,17_02_Menorrhagia__PMS__Menopause__HRT.md#Abnormal Uterine Bleeding — Approach and DDx,covered - named inside a teaching entry
Cardiovascular,Atheroembolism,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Atherosclerosis,IN A TAUGHT SECTION,9,01_Cardiovascular.md#0.1 Acute Coronary Syndrome (ACS),covered - named inside a teaching entry
Cardiovascular,Atrial Fibrillation,OWNS ENTRY,5,01_Cardiovascular.md#0.4 Atrial Fibrillation,covered - owns an entry
Cardiovascular,Atrial Flutter,OWNS ENTRY,3,01_Cardiovascular.md#0.19 Atrial Flutter,covered - owns an entry
Cardiovascular,Atrial septal defect,OWNS ENTRY,2,15_05_Paeds_-_Acyanotic_Congenital_Heart_Disease.md#Atrial septal defect (ASD),covered - owns an entry
Cardiovascular,Bicuspid aortic valves,IN A TAUGHT SECTION,5,01_Cardiovascular.md#0.35.5 Aortic Dissection,covered - named inside a teaching entry
Cardiovascular,Bradyarrhythmias,IN A TAUGHT SECTION,4,01_Cardiovascular.md#0.8 Bradycardia: Peri-arrest,covered - named inside a teaching entry
Cardiovascular,Cardiac embolism,ABSENT,0,weak-signal:embolism=13,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Cardiac Infections,ABSENT,0,weak-signal:Infections=134,UMBRELLA LABEL - not a condition an entry could own
Cardiovascular,Cardiac Tamponade,OWNS ENTRY,12,01_Cardiovascular.md#0.33 Cardiac Tamponade,covered - owns an entry
Cardiovascular,Cardiovascular toxicity,ABSENT,0,weak-signal:Cardiovascular=176,UMBRELLA LABEL - not a condition an entry could own
Cardiovascular,Carotid artery dissection,IN A TAUGHT SECTION,2,04_Neurology.md#Horner's Syndrome,covered - named inside a teaching entry
Cardiovascular,Cavernous Malformations,ABSENT,0,weak-signal:Malformations=19,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Chronic limb threatening ischemia (CLTI),ABSENT,0,weak-signal:threatening=65,COVERED-SYNONYM: critical limb ischaemia
Cardiovascular,Chronic thromboembolic pulmonary hypertension,IN A TAUGHT SECTION,2,01_Cardiovascular.md#0.29 Pulmonary Embolism (PE),covered - named inside a teaching entry
Cardiovascular,Coarctation of aorta,OWNS ENTRY,9,01_Cardiovascular.md#0.37 Congenital Heart Disease (incl. Coarctation of the Aorta),covered - owns an entry
Cardiovascular,Congenital heart block,MENTIONED,2,,named in prose only - not individually verified
Cardiovascular,Congenital heart disease,OWNS ENTRY,18,01_Cardiovascular.md#0.37 Congenital Heart Disease (incl. Coarctation of the Aorta),covered - owns an entry
Cardiovascular,Constrictive Pericarditis,OWNS ENTRY,6,01_Cardiovascular.md#0.32 Constrictive Pericarditis,covered - owns an entry
Cardiovascular,Coronary Vasospasm,ABSENT,0,weak-signal:Vasospasm=5,GAP: an ACS mimic; vasospasm appears only in neurology and obstetrics contexts
Cardiovascular,Dilated Cardiomyopathy,OWNS ENTRY,5,01_Cardiovascular.md#0.25 Dilated Cardiomyopathy,covered - owns an entry
Cardiovascular,Distributive Shock,OWNS ENTRY,0,01_Cardiovascular.md#0.20.3 Distributive shock,covered - owns an entry
Cardiovascular,Dressler's syndrome,IN A TAUGHT SECTION,3,01_Cardiovascular.md#0.31 Pericarditis,covered - named inside a teaching entry
Cardiovascular,Eisenmenger syndrome,OWNS ENTRY,2,15_05_Paeds_-_Acyanotic_Congenital_Heart_Disease.md#Eisenmenger's syndrome,covered - owns an entry
Cardiovascular,Heart disease,OWNS ENTRY,63,01_Cardiovascular.md#0.3 Ischaemic Heart Disease,covered - owns an entry
Cardiovascular,High-Output Heart Failure,OWNS ENTRY,0,01_Cardiovascular.md#0.27.2 High output heart failure,covered - owns an entry
Cardiovascular,Hypertensive Emergency,IN A TAUGHT SECTION,4,05_Ophthalmology.md#Hypertensive Retinopathy,covered - named inside a teaching entry
Cardiovascular,Hypertensive Urgency,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Hypertrophic Cardiomyopathy,IN A TAUGHT SECTION,1,04_Neurology.md#Friedreich's Ataxia,covered - named inside a teaching entry
Cardiovascular,Hypovolemic Shock,OWNS ENTRY,8,01_Cardiovascular.md#0.20.2 Hypovolaemic shock,covered - owns an entry
Cardiovascular,Idiopathic pulmonary arterial hypertension,ABSENT,0,weak-signal:hypertension=129,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Infarction,IN A TAUGHT SECTION,26,01_Cardiovascular.md#0.1 Acute Coronary Syndrome (ACS),covered - named inside a teaching entry
Cardiovascular,Infective endocarditis (IE),OWNS ENTRY,13,01_Cardiovascular.md#0.30 Infective Endocarditis,covered - owns an entry
Cardiovascular,Innominate artery compression,ABSENT,0,weak-signal:compression=118,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Left pulmonary artery sling,ABSENT,0,weak-signal:pulmonary=135,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Lymphedema praecox,ABSENT,0,weak-signal:Lymphedema=5,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Malignant hypertension,IN A TAUGHT SECTION,5,05_Ophthalmology.md#Papilloedema,covered - named inside a teaching entry
Cardiovascular,Mitral Regurgitation,IN A TAUGHT SECTION,7,01_Cardiovascular.md#0.22a Rheumatic Heart Disease (RHD),covered - named inside a teaching entry
Cardiovascular,Mitral Valve Prolapse,IN A TAUGHT SECTION,3,07_Renal_Medicine_and_Urology.md#Polycystic Kidney Disease (PKD),covered - named inside a teaching entry
Cardiovascular,Multifocal Atrial Tachycardia,ABSENT,0,weak-signal:Tachycardia=44,GAP: zero hits; ECG differential in COPD
Cardiovascular,Myxoma,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,NSTEMI,OWNS ENTRY,4,01_Cardiovascular.md#0.1.4 Mx – Definitive (NSTEMI),covered - owns an entry
Cardiovascular,Paradoxical embolism,ABSENT,0,weak-signal:Paradoxical=19,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Pericardial Disease,IN A TAUGHT SECTION,1,01_Cardiovascular.md#0.41 Restrictive Cardiomyopathy,covered - named inside a teaching entry
Cardiovascular,Peripartum Cardiomyopathy,ABSENT,0,weak-signal:Cardiomyopathy=30,GAP: zero hits; postpartum breathlessness differential
Cardiovascular,Peripheral arterial disease (PAD),OWNS ENTRY,39,01_Cardiovascular.md#0.35.1 Peripheral Arterial Disease (PAD),covered - owns an entry
Cardiovascular,Phlegmasia alba dolens,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Phlegmasia cerula dolens,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Pulmonary stenosis,IN A TAUGHT SECTION,3,15_06_Paeds_-_Cyanotic_CHD__Kawasaki_Disease__Murmurs.md#Tetralogy of Fallot (ToF),covered - named inside a teaching entry
Cardiovascular,Raynaud's,IN A TAUGHT SECTION,7,10_02_Haemonc_-_Lymphomas_and_Multiple_Myeloma.md#0.3.1 Other plasma cell disorders,covered - named inside a teaching entry
Cardiovascular,Rheumatic valve disease,ABSENT,0,weak-signal:Rheumatic=41,"COVERED-SYNONYM: rheumatic heart disease, 14 uses"
Cardiovascular,Sinoatrial Block,ABSENT,0,,"OUT OF SCOPE at intern/RMO level (classified by rule, not individually verified - named fracture patterns and eponyms, tumour subtypes, congenital dysmorphology, non-endemic tropical infection, single-gene disorders)"
Cardiovascular,Sinus Tachycardia,IN A TAUGHT SECTION,6,01_Cardiovascular.md#0.29 Pulmonary Embolism (PE),covered - named inside a teaching entry
Cardiovascular,STEMI,OWNS ENTRY,19,01_Cardiovascular.md#0.1.3 Mx – Definitive (STEMI),covered - owns an entry
Cardiovascular,Syndrome X,MENTIONED,2,,named in prose only - not individually verified
Cardiovascular,Thromboembolism,OWNS ENTRY,6,10_06b_Haemonc_-_Thrombophilia__APS__Thrombocytosis__Methaemoglobinaemia.md#Postpartum Infection and Thromboembolism,covered - owns an entry
Cardiovascular,Torsades de Pointes,IN A TAUGHT SECTION,4,01_Cardiovascular.md#0.7 Ventricular Tachycardia,covered - named inside a teaching entry
Cardiovascular,Transfusion-associated circulatory overload,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Tricuspid Regurgitation,IN A TAUGHT SECTION,3,01_Cardiovascular.md#0.36 Pulmonary Hypertension,covered - named inside a teaching entry
Cardiovascular,Vascular ring,MENTIONED,1,,named in prose only - not individually verified
Cardiovascular,Vasovagal syncope,MENTIONED,2,,named in prose only - not individually verified
Cardiovascular,Venous claudication,ABSENT,0,weak-signal:claudication=15,COVERED-SYNONYM: claudication under PAD
Cardiovascular,Venous Disease,ABSENT,0,,UMBRELLA LABEL - not a condition an entry could own
Cardiovascular,Venous hypertension,ABSENT,0,weak-signal:hypertension=129,UMBRELLA LABEL - not a condition an entry could own
Cardiovascular,Venous insufficiency,OWNS ENTRY,5,01_Cardiovascular.md#0.35.7 Chronic Venous Insufficiency — skin changes,covered - owns an entry
Cardiovascular,Venous ulcer,IN A TAUGHT SECTION,5,Examination.md#Leg and Skin Ulcers — Differential and Approach,covered - named inside a teaching entry
Cardiovascular,Ventricular septal defect,OWNS ENTRY,1,15_05_Paeds_-_Acyanotic_Congenital_Heart_Disease.md#Ventricular septal defect (VSD),covered - owns an entry
Cardiovascular,Ventricular Tachycardia,OWNS ENTRY,0,01_Cardiovascular.md#0.7 Ventricular Tachycardia,covered - owns an entry
Cardiovascular,Wolff-Parkinson-White Syndrome,OWNS ENTRY,0,01_Cardiovascular.md#0.13 Wolff-Parkinson-White (WPW) Syndrome,covered - owns an entry
Cardiovascular,Takotsubo Cardiomyopathy (Stress Cardiomyopathy),OWNS ENTRY,3,01_Cardiovascular.md#0.26 Takotsubo Cardiomyopathy,covered - owns an entry
