cls,verdict,how,header,file,label,labelfile,labelhow,mr,n,found,named
mTOR Inhibitors,MEMBERS ONLY,,,,,,,,2/2,sirolimus|everolimus,mTOR Inhibitors|mTOR inhibitor
Polyclonal Antibodies (T-cell Depleting),ABSENT,,,,,,,,0/2,,
Bisphosphonates (Osteoclast Inhibitors),OWNS,"alias ""bisphosphonate""",Bisphosphonates,11_08b_Ortho_-_Paget_s_Disease_and_Osteoporosis.md,,,,,3/4,alendronate|zoledronic|risedronate,Bisphosphonates|bisphosphonate
Purinergic (Adenosine) Antagonists,MEMBERS ONLY,,,,,,,,2/3,theophylline|aminophylline,
Vasopressin Receptor Antagonists (Vaptans),MEMBERS ONLY,,,,,,,,1/2,tolvaptan,vaptan
Acetylcholinesterase Inhibitors (Central),MEMBERS ONLY,,,,,,,,3/3,donepezil|rivastigmine|galantamine,Acetylcholinesterase Inhibitors
ALS Therapies (Apoptosis / ER Stress Inhibitors),ABSENT,,,,,,,,0/2,,
ALS Therapies (Free Radical Scavengers),ABSENT,,,,,,,,0/1,,
ALS Therapies (Glutamate Antagonists),MEMBERS ONLY,,,,,,,,1/1,riluzole,riluzole
Anticonvulsants (Broad Spectrum),MEMBERS ONLY,,,,,,,,3/3,valproate|topiramate|lamotrigine,Anticonvulsants
Anticonvulsants (GABA Reuptake / Transaminase Inhibitors),MEMBERS ONLY,,,,,,,,1/2,vigabatrin,Anticonvulsants
Anticonvulsants (SV2A Ligands),MEMBERS ONLY,,,,,,,,1/2,levetiracetam,Anticonvulsants
Anticonvulsants (T-Type Calcium Channel Blockers),MEMBERS ONLY,,,,,,,,1/1,ethosuximide,Anticonvulsants
Anticonvulsants (VGCC Blockers / Gabapentinoids),MEMBERS ONLY,,,,,,,,2/2,gabapentin|pregabalin,Anticonvulsants|gabapentinoid
Anticonvulsants (Voltage-Gated Sodium Channel Blockers),MEMBERS ONLY,,,,,,,,3/4,carbamazepine|phenytoin|oxcarbazepine,Anticonvulsants
Barbiturates (GABA-A Modulators),MEMBERS ONLY,,,,,,,,2/3,phenobarbitone|phenobarbital,Barbiturates|barbiturate
DOPA Decarboxylase Inhibitors,MEMBERS ONLY,,,,,,,,1/2,carbidopa,
Dopamine Agonists (Non-Ergot),MEMBERS ONLY,,,,,,,,3/4,pramipexole|ropinirole|apomorphine,Dopamine Agonists
Dopamine Precursors,BOLD LABEL,,,,Levodopa,04_Neurology.md,"alias ""levodopa""",,1/3,levodopa,levodopa
GHB Receptor / GABA-B Agonists,ABSENT,,,,,,,,0/2,,
Dopamine Agonists (Ergot Derivatives),MEMBERS ONLY,,,,,,,,2/3,cabergoline|bromocriptine,Dopamine Agonists
Benzodiazepines (GABA-A Modulators),OWNS,"alias ""benzodiazepine""",Benzodiazepines,14_06a_Psych_-_Drugs_Used_in_Psychiatry.md,,,,,4/4,diazepam|midazolam|lorazepam|clonazepam,Benzodiazepines|benzodiazepine
CGRP Antagonists (Monoclonal Antibodies),ABSENT,,,,,,,,0/3,,
Ergot Alkaloids (5-HT Agonists),ABSENT,,,,,,,,0/3,,
MAO-B Inhibitors,BOLD LABEL,,,,MAO-B inhibitors,04_Neurology.md,class name,,2/3,selegiline|rasagiline,MAO-B Inhibitors|MAO-B inhibitor
Migraine Therapies (Calcium Channel Blockers),MEMBERS ONLY,,,,,,,,1/2,cinnarizine,
MS Therapies (Anti-CD20 Monoclonal Antibodies),MEMBERS ONLY,,,,,,,,3/3,ocrelizumab|rituximab|ofatumumab,anti-CD20
MS Therapies (Anti-VLA-4 Monoclonal Antibodies),MEMBERS ONLY,,,,,,,,1/1,natalizumab,
MS Therapies (Immunomodulators / Pyrimidine Synthesis Inhibitors),MEMBERS ONLY,,,,,,,,1/2,leflunomide,
MS Therapies (Interferons),MEMBERS ONLY,,,,,,,,1/1,interferon,
MS Therapies (S1P Modulators),MEMBERS ONLY,,,,,,,,1/3,fingolimod,
Muscarinic Antagonists (Central),MEMBERS ONLY,,,,,,,,3/3,benztropine|trihexyphenidyl|procyclidine,
NMDA Receptor Antagonists,BOLD LABEL,,,,NMDA receptor antagonists,04_Neurology.md,class name,,2/2,memantine|ketamine,NMDA Receptor Antagonists
Triptans (5-HT1B/1D Agonists),MEMBERS ONLY,,,,,,,,2/4,sumatriptan|zolmitriptan,Triptans|triptan
Muscle Relaxants (Neurotoxins),MEMBERS ONLY,,,,,,,,1/2,botulinum,Muscle Relaxants|botulinum toxin
Interferons (MS Therapies),MEMBERS ONLY,,,,,,,,1/1,interferon,
MS Therapies (Myelin Decoys),MEMBERS ONLY,,,,,,,,1/1,glatiramer,glatiramer
Muscle Relaxants (GABA-B Agonists),MEMBERS ONLY,,,,,,,,1/1,baclofen,Muscle Relaxants|baclofen
Acetylcholinesterase Inhibitors (Peripheral),MEMBERS ONLY,,,,,,,,2/3,pyridostigmine|neostigmine,Acetylcholinesterase Inhibitors
Fat-Soluble Vitamins,MEMBERS ONLY,,,,,,,,4/4,vitamin A|vitamin E|vitamin K|retinol,Fat-Soluble Vitamins|fat-soluble vitamin
Iron Supplements,MEMBERS ONLY,,,,,,,,1/4,ferrous sulfate,Iron Supplements|iron replacement
Water-Soluble Vitamins,MEMBERS ONLY,,,,,,,,4/4,thiamine|folic acid|vitamin C|pyridoxine,
Antimetabolites (Pyrimidine Analogues),MEMBERS ONLY,,,,,,,,1/4,fluorouracil,
Cytotoxic Antibiotics (DNA Intercalators),MEMBERS ONLY,,,,,,,,2/4,doxorubicin|bleomycin,anthracycline
VEGF Inhibitors (Systemic / Intravitreal),MEMBERS ONLY,,,,,,,,3/3,bevacizumab|ranibizumab|aflibercept,VEGF Inhibitors|anti-VEGF
Antimetabolites (Folate Antagonists),MEMBERS ONLY,,,,,,,,1/2,methotrexate,
Vesicants (Chemotherapy Extravasation Context),MEMBERS ONLY,,,,,,,,1/2,extravasation,extravasation
External Fixation (Surgical Procedure),ABSENT,,,,,,,,0/2,,
Arthroplasty (Surgical & Perioperative Med Mgt),OWNS,"alias ""joint replacement""",Joint replacements (arthroplasty),11_08a_Ortho_-_Joint_Replacements.md,,,,,3/3,arthroplasty|hip replacement|knee replacement,Arthroplasty|joint replacement
Azapirones (5-HT1A Partial Agonists),ABSENT,,,,,,,,0/1,,
Aldehyde Dehydrogenase Inhibitors,MEMBERS ONLY,,,,,,,,1/1,disulfiram,
"MAOIs (Irreversible, Non-selective)",OWNS,"alias ""MAOI""",Monoamine oxidase inhibitors (MAOIs),14_06a_Psych_-_Drugs_Used_in_Psychiatry.md,,,,,1/2,phenelzine,MAOIs|MAOI
"MAOIs (Reversible, MAO-A Selective)",OWNS,"alias ""MAOI""",Monoamine oxidase inhibitors (MAOIs),14_06a_Psych_-_Drugs_Used_in_Psychiatry.md,,,,,1/1,moclobemide,MAOIs|MAOI
Mood Stabilizers (Cationic Salts),OWNS,"alias ""lithium""",Lithium,14_06a_Psych_-_Drugs_Used_in_Psychiatry.md,,,,,1/1,lithium,lithium
NaSSAs (Noradrenergic & Specific Serotonergic Antidepressants),MEMBERS ONLY,,,,,,,,1/2,mirtazapine,
NDRIs (Norepinephrine-Dopamine Reuptake Inhibitors),MEMBERS ONLY,,,,,,,,1/1,bupropion,
Psychedelics (5-HT2A Agonists),MEMBERS ONLY,,,,,,,,2/3,lysergic acid|LSD,psychedelic
Serotonin Modulators and Stimulators,ABSENT,,,,,,,,0/2,,
SSRIs (Selective Serotonin Reuptake Inhibitors),OWNS,class name,Selective serotonin reuptake inhibitors (SSRIs),14_06a_Psych_-_Drugs_Used_in_Psychiatry.md,,,,,4/4,sertraline|fluoxetine|escitalopram|citalopram,SSRIs|SSRI
nAChR Agonists,MEMBERS ONLY,,,,,,,,1/2,nicotine replacement,nicotine replacement
nAChR Partial Agonists,MEMBERS ONLY,,,,,,,,1/2,varenicline,
NMDA Receptor Modulators,ABSENT,,,,,,,,0/2,,
H1 Antagonists (Sedative/Anticholinergic),MEMBERS ONLY,,,,,,,,2/3,promethazine|doxylamine,sedating antihistamine
Botanical Extracts / Antioxidants,MEMBERS ONLY,,,,,,,,1/2,st john,
CNS Stimulants (NDRIs),MEMBERS ONLY,,,,,,,,3/3,methylphenidate|dexamfetamine|lisdexamfetamine,
