# AMH therapeutic classification - 21 top-level classes, 276 leaf subclasses
# Source: SA Medicines Formulary Framework, Appendix 1: Therapeutic Classes
# of Medicines (AMH), supplied in full by the user.
# Checked in full by scripts/drug_classes.py; results in commit 3e543ef.
# Format: <top-level class> | <leaf subclass>

129. 10 Endocrine | Gonadotrophin-releasing hormone agonists
130. 10 Endocrine | Other drugs for infertility
131. 10 Endocrine | Androgens
132. 10 Endocrine | Antidiuretic hormone agonists and antagonists
133. 10 Endocrine | Growth hormone
134. 10 Endocrine | Nonselective alpha-blockers
135. 10 Endocrine | Somatostatin analogues
136. 11 Eye | Aminoglycosides (eye)
137. 11 Eye | Quinolones (eye)
138. 11 Eye | Other antibacterials (eye)
139. 11 Eye | Antivirals (eye)
140. 11 Eye | Beta-blockers (eye)
141. 11 Eye | Prostaglandin analogues (eye)
142. 11 Eye | Alpha2 agonists (eye)
143. 11 Eye | Carbonic anhydrase inhibitors
144. 11 Eye | Other drugs for glaucoma
145. 11 Eye | Vasoconstrictors (eye)
146. 11 Eye | Antihistamines (eye)
147. 11 Eye | Mast cell stabilisers
148. 11 Eye | NSAIDs (eye)
149. 11 Eye | Corticosteroids (eye)
150. 11 Eye | Other drugs for allergic eye conditions
151. 11 Eye | Drugs for dry eyes
152. 11 Eye | Anticholinergics (eye)
153. 11 Eye | Other drugs for mydriasis
154. 11 Eye | Local anaesthetics (eye)
155. 12 Gastrointestinal | Antacids
156. 12 Gastrointestinal | H2 antagonists
157. 12 Gastrointestinal | Proton pump inhibitors
158. 12 Gastrointestinal | Other drugs for ulcers
159. 12 Gastrointestinal | Drugs affecting gastrointestinal motility
160. 12 Gastrointestinal | Dopamine antagonists (antiemetic)
161. 12 Gastrointestinal | 5HT3 antagonists
162. 12 Gastrointestinal | Substance P antagonists
163. 12 Gastrointestinal | Other drugs for nausea and vomiting
164. 12 Gastrointestinal | Stool softeners
165. 12 Gastrointestinal | Stimulant laxatives
166. 12 Gastrointestinal | Osmotic laxatives
167. 12 Gastrointestinal | Other laxatives
168. 12 Gastrointestinal | Opioid antidiarrhoeals
169. 12 Gastrointestinal | Other drugs for diarrhoea
170. 12 Gastrointestinal | Corticosteroids (gastrointestinal)
171. 12 Gastrointestinal | 5-Aminosalicylates
172. 12 Gastrointestinal | Other drugs for inflammatory bowel disease
173. 12 Gastrointestinal | Drugs for perianal disorders
174. 12 Gastrointestinal | Other gastrointestinal drugs
175. 13 Genitourinary | Anticholinergics (genitourinary)
176. 13 Genitourinary | Other drugs for urinary incontinence
177. 13 Genitourinary | Selective alpha-blockers (genitourinary)
178. 13 Genitourinary | 5-Alpha-reductase inhibitors
179. 13 Genitourinary | Phosphodiesterase 5 inhibitors
180. 13 Genitourinary | Other drugs for sexual dysfunction
181. 13 Genitourinary | Urinary alkalinisers and acidifiers
182. 13 Genitourinary | Drugs for kidney stones
183. 13 Genitourinary | Bladder instillations
184. 14 Immunomodulators and antineoplastics | Alkylating agents
185. 14 Immunomodulators and antineoplastics | Anthracyclines
186. 14 Immunomodulators and antineoplastics | Antimetabolites
187. 14 Immunomodulators and antineoplastics | Platinum compounds
188. 14 Immunomodulators and antineoplastics | Taxanes
189. 14 Immunomodulators and antineoplastics | Topoisomerase I inhibitors
190. 14 Immunomodulators and antineoplastics | Vinca alkaloids
191. 14 Immunomodulators and antineoplastics | Other cytotoxic antineoplastics
192. 14 Immunomodulators and antineoplastics | Antineoplastic antibodies
193. 14 Immunomodulators and antineoplastics | Kinase inhibitors
194. 14 Immunomodulators and antineoplastics | Thalidomide analogues
195. 14 Immunomodulators and antineoplastics | Other non-cytotoxic antineoplastics
196. 14 Immunomodulators and antineoplastics | Anti-androgens
197. 14 Immunomodulators and antineoplastics | Aromatase inhibitors
198. 14 Immunomodulators and antineoplastics | GnRH agonists (oncology)
199. 14 Immunomodulators and antineoplastics | Selective oestrogen receptor modulators
200. 14 Immunomodulators and antineoplastics | Other hormonal antineoplastics
201. 14 Immunomodulators and antineoplastics | Colony stimulating factors
202. 14 Immunomodulators and antineoplastics | Other drugs used with antineoplastics
203. 14 Immunomodulators and antineoplastics | Calcineurin inhibitors
204. 14 Immunomodulators and antineoplastics | Corticosteroids (immunosuppressant)
205. 14 Immunomodulators and antineoplastics | Immunosuppressant antibodies
206. 14 Immunomodulators and antineoplastics | mTOR inhibitors
207. 14 Immunomodulators and antineoplastics | Other immunosuppressants
208. 14 Immunomodulators and antineoplastics | Interferons
209. 15 Neurological | Barbiturates
210. 15 Neurological | Benzodiazepines (neurology)
211. 15 Neurological | Other antiepileptics
212. 15 Neurological | Dopamine agonists (parkinsonism)
213. 15 Neurological | Anticholinergics (parkinsonism)
214. 15 Neurological | Monoamine oxidase type B inhibitors
215. 15 Neurological | Other drugs for Parkinson's disease
216. 15 Neurological | Triptans
217. 15 Neurological | Calcitonin gene-related peptide antagonists
218. 15 Neurological | Other drugs to prevent migraine
219. 15 Neurological | Anticholinesterases in Alzheimer's disease
220. 15 Neurological | Other drugs for Alzheimer's disease
221. 15 Neurological | Drugs for multiple sclerosis
222. 15 Neurological | Anticholinesterases in myasthenia gravis
223. 15 Neurological | Drugs for other neurological conditions
224. 16 Obstetric and gynaecological | Combined oral contraceptives
225. 16 Obstetric and gynaecological | Progestogens
226. 16 Obstetric and gynaecological | Other combined contraceptives
227. 16 Obstetric and gynaecological | Intrauterine devices
228. 16 Obstetric and gynaecological | Hormone replacement therapy
229. 16 Obstetric and gynaecological | Drugs for heavy menstrual bleeding
230. 16 Obstetric and gynaecological | Drugs for endometriosis
231. 16 Obstetric and gynaecological | Drugs for preterm labour
232. 16 Obstetric and gynaecological | Drugs in pre-eclampsia and eclampsia
233. 16 Obstetric and gynaecological | Oxytocic drugs
234. 16 Obstetric and gynaecological | Prostaglandins
235. 16 Obstetric and gynaecological | Other drugs used in obstetrics
236. 16 Obstetric and gynaecological | Drugs affecting lactation
237. 16 Obstetric and gynaecological | Azoles (vaginal)
238. 16 Obstetric and gynaecological | Other vaginal anti-infectives
239. 16 Obstetric and gynaecological | Drugs for menstrual symptoms
240. 17 Psychotropic | Monoamine oxidase inhibitors
241. 17 Psychotropic | Selective serotonin reuptake inhibitors
242. 17 Psychotropic | Tricyclic antidepressants
243. 17 Psychotropic | Serotonin and noradrenaline reuptake inhibitors
244. 17 Psychotropic | Other antidepressants
245. 17 Psychotropic | Antipsychotics
246. 17 Psychotropic | Drugs for bipolar disorder
247. 17 Psychotropic | Benzodiazepines
248. 17 Psychotropic | Non-amphetamine psychostimulants
249. 17 Psychotropic | Orexin receptor antagonists
250. 17 Psychotropic | Other drugs for anxiety and sleep disorders
251. 17 Psychotropic | Psychostimulants
252. 17 Psychotropic | Other drugs for attention deficit hyperactivity disorder
253. 17 Psychotropic | Drugs for alcohol dependence
254. 17 Psychotropic | Drugs for nicotine dependence
255. 17 Psychotropic | Drugs for opioid dependence
256. 17 Psychotropic | Other psychotropic drugs
257. 18 Respiratory | Beta2 agonists
258. 18 Respiratory | Anticholinergics (inhaled)
259. 18 Respiratory | Theophyllines
260. 18 Respiratory | Corticosteroids (inhaled)
261. 18 Respiratory | Other drugs for asthma
262. 18 Respiratory | Opioid cough suppressants
263. 18 Respiratory | Mucolytics
264. 18 Respiratory | Drugs used in cystic fibrosis
265. 18 Respiratory | Pulmonary surfactants
266. 18 Respiratory | Other respiratory drugs
267. 19 Rheumatological | TNF-alpha antagonists
268. 19 Rheumatological | Immunosuppressants (rheumatology)
269. 19 Rheumatological | Other immunomodulating drugs
270. 19 Rheumatological | Xanthine oxidase inhibitors
271. 19 Rheumatological | Other drugs for gout
272. 19 Rheumatological | NSAIDs
273. 20 Vaccines | Vaccines
274. 21 Miscellaneous | Specialised drugs
275. 21 Miscellaneous | Blood products
276. 21 Miscellaneous | Immunoglobulins
